step,SARSA,Q_learning,double_Q_learning,QV_learning
411,0,0,0,0
412,0.89,96.598,91.573,97.533
412,0,0,0,0
413,-7.7935,96.272,91.476,97.59
413,0,0,0,0
414,72.2525,96.376,91.487,97.639
414,0,0,0,0
415,82.8365,95.856,90.429,97.613
415,0,0,0,0
416,91.322,95.864,89.853,97.614
416,0,0,0,0
417,88.8615,96.414,94.28,97.543
417,0,0,0,0
418,52.2595,96.88,91.892,97.594
418,0,0,0,0
419,84.6075,96.269,90.95,97.565
419,0,0,0,0
420,59.337,96.731,90.245,97.654
420,0,0,0,0
421,87.7545,96.527,90.886,97.547
421,0,0,0,0
422,55.997,96.211,91.265,97.517
422,0,0,0,0
423,91.0025,96.683,92.359,97.733
423,0,0,0,0
424,76.8045,96.487,89.794,97.501
424,0,0,0,0
425,2.5305,97.142,88.196,97.665
425,0,0,0,0
426,52.3925,97.244,93.294,97.52
426,0,0,0,0
427,-3.849,96.44,91.13,97.557
427,0,0,0,0
428,53.906,96.433,90.433,97.64
428,0,0,0,0
429,67.227,96.573,89.918,97.683
429,0,0,0,0
430,59.5315,96.885,91.64,97.485
430,0,0,0,0
431,24.5575,96.211,89.825,97.599
431,0,0,0,0
432,59.344,96.764,90.731,97.574
432,0,0,0,0
433,13.515,96.635,90.186,97.513
433,0,0,0,0
434,18.658,96.856,91.945,97.66
434,0,0,0,0
435,87.5555,96.551,92.705,97.727
435,0,0,0,0
436,84.806,96.869,92.173,97.59
436,0,0,0,0
437,65.4515,97.061,90.501,97.689
437,0,0,0,0
438,83.968,96.59,90.74,97.664
438,0,0,0,0
439,92.506,97.399,90.236,97.528
439,0,0,0,0
440,65.444,96.4,91.973,97.549
440,0,0,0,0
441,85.014,96.497,90.929,97.515
441,0,0,0,0
442,90.2405,97.132,91.764,97.538
442,0,0,0,0
443,63.963,96.83,92.527,97.674
443,0,0,0,0
444,87.99,96.827,91.986,97.478
444,0,0,0,0
445,84.0195,96.845,91.32,97.635
445,0,0,0,0
446,86.84,96.745,91.507,97.651
446,0,0,0,0
447,29.6485,97.26,90.691,97.594
447,0,0,0,0
448,88.537,96.865,90.956,97.537
448,0,0,0,0
449,84.7255,96.553,91.307,97.636
449,0,0,0,0
450,86.093,96.767,89.768,97.599
450,0,0,0,0
451,56.1595,96.317,91.742,97.541
451,0,0,0,0
452,87.62,96.944,91.314,97.635
452,0,0,0,0
453,88.526,96.95,93.133,97.676
453,0,0,0,0
454,88.182,96.855,92.439,97.479
454,0,0,0,0
455,81.915,96.425,93.346,97.588
455,0,0,0,0
456,87.7175,96.762,92.982,97.531
456,0,0,0,0
457,52.198,96.533,91.948,97.448
457,0,0,0,0
458,84.057,96.684,92.71,97.527
458,0,0,0,0
459,82.2085,96.67,93.259,97.608
459,0,0,0,0
460,90.45,97.193,91.987,97.667
460,0,0,0,0
461,90.1035,96.625,92.483,97.588
461,0,0,0,0
462,77.9585,96.866,92.837,97.463
462,0,0,0,0
463,83.3995,96.893,90.779,97.62
463,0,0,0,0
464,20.1075,96.818,93.243,97.568
464,0,0,0,0
465,86.0445,96.736,91.66,97.604
465,0,0,0,0
466,87.1845,97.309,92.923,97.527
466,0,0,0,0
467,60.6905,97.08,92.839,97.429
467,0,0,0,0
468,91.752,96.744,92.201,97.613
468,0,0,0,0
469,38.989,96.825,93.459,97.563
469,0,0,0,0
470,86.604,96.808,93.283,97.596
470,0,0,0,0
471,88.967,96.832,93.209,97.553
471,0,0,0,0
472,83.304,97.015,94.252,97.703
472,0,0,0,0
473,81.419,97.054,92.917,97.495
473,0,0,0,0
474,89.7025,97.167,94.202,97.574
474,0,0,0,0
475,76.7435,97.233,92.476,97.551
475,0,0,0,0
476,66.2735,96.88,93.075,97.438
476,0,0,0,0
477,67.832,96.958,91.17,97.59
477,0,0,0,0
478,87.4945,96.969,93.348,97.5
478,0,0,0,0
479,76.952,97.284,87.461,97.506
479,0,0,0,0
480,93.2215,96.926,91.152,97.584
480,0,0,0,0
