step,SARSA,Q_learning,double_Q_learning,QV_learning
751,45,45,13,39
752,42,42,16,22
753,27,27,64,35
754,21,21,16,4
755,51,51,39,47
756,33,33,8,7
757,36,36,15,9
758,41,41,15,9
759,14,14,41,28
760,31,31,61,11
761,39,39,21,13
762,5,5,28,17
763,31,31,9,15
764,20,20,29,19
765,27,27,24,32
766,52,52,33,31
767,37,37,12,38
768,28,28,61,47
769,54,54,28,38
770,18,18,19,14
771,44,44,32,30
772,20,20,29,44
773,14,14,11,16
774,32,32,7,69
775,15,15,20,35
776,40,40,32,36
777,7,7,11,18
778,42,42,30,42
779,34,34,34,24
780,55,55,25,7
781,35,35,41,13
782,6,6,5,33
783,15,15,29,10
784,27,27,45,42
785,25,25,29,53
786,63,63,24,30
787,28,28,58,18
788,70,70,30,17
789,8,8,53,9
790,30,30,40,12
791,40,40,24,14
792,15,15,35,8
793,34,34,36,60
794,18,18,34,6
795,30,30,7,46
796,10,10,10,8
797,16,16,26,18
798,41,41,39,40
799,26,26,38,46
800,40,40,16,5
801,5,5,25,60
802,37,37,28,28
803,48,48,31,11
804,41,41,19,42
805,28,28,22,7
806,37,37,48,13
807,27,27,23,25
808,48,48,12,7
809,56,56,58,38
810,26,26,31,57
811,36,36,38,26
812,40,40,26,13
813,44,44,6,12
814,54,54,33,23
815,18,18,21,13
816,30,30,7,37
817,18,18,52,43
818,34,34,30,25
819,9,9,45,17
820,25,25,54,32
821,43,43,30,10
822,32,32,17,27
823,64,64,67,22
824,53,53,5,21
825,10,10,65,12
826,17,17,8,26
827,20,20,13,57
828,35,35,17,16
829,35,35,87,23
830,24,24,32,6
831,38,38,28,6
832,11,11,17,11
833,33,33,22,10
834,21,21,20,37
835,26,26,25,19
836,29,29,15,27
837,43,43,25,39
838,56,56,53,13
839,40,40,18,4
840,7,7,25,33
841,50,50,32,9
842,35,35,8,58
843,46,46,25,42
844,28,28,41,31
845,34,34,36,6
846,30,30,39,13
847,36,36,39,59
848,46,46,13,55
849,37,37,31,39
850,5,5,16,13
851,55,55,25,41
852,20,20,20,24
853,33,33,67,18
854,26,26,53,19
855,40,40,38,30
856,26,26,36,52
857,37,37,32,21
858,8,8,15,12
859,12,12,43,32
860,32,32,11,77
861,31,31,38,17
862,19,19,10,9
863,44,44,37,10
864,49,49,32,24
865,25,25,24,43
866,53,53,21,12
867,6,6,20,59
868,33,33,33,10
869,37,37,12,31
870,48,48,13,9
871,45,45,7,30
872,24,24,16,7
873,6,6,88,26
874,5,5,44,30
875,31,31,56,25
876,16,16,19,14
877,33,33,6,40
878,35,35,12,6
879,8,8,27,24
880,35,35,31,48
881,44,44,20,8
882,28,28,43,15
883,33,33,50,21
884,41,41,29,44
885,9,9,40,75
886,49,49,19,13
887,35,35,41,33
888,36,36,4,27
889,42,42,34,46
890,25,25,67,25
891,5,5,15,20
892,23,23,23,26
893,56,56,25,61
