step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSarsa,stdQ,stddoubleQ,stdQV
246,91.723,90.5944,87.302,93.4516246,13.7253,7.79835,17.9173,3.34209
247,91.9432,90.8812,86.1452,93.458247,15.7963,6.9014,23.0227,3.75447
248,91.1648,90.8968,86.8492,93.5604248,15.0965,7.07336,18.3253,3.46506
249,91.7424,90.3948,87.878,93.616249,15.523,6.82947,17.7291,3.60205
250,92.2052,90.5752,86.1524,93.198250,12.1416,7.42223,20.6137,3.91793
251,92.234,90.4824,87.756,93.554251,12.3488,7.81046,15.2817,3.39086
252,92.9548,90.0656,85.4692,93.306252,11.5478,8.63684,22.2735,3.79767
253,92.7982,90.4668,87.566,93.1396253,13.7146,7.47486,17.8219,3.66789
254,91.5384,91.2772,86.156,93.1388254,14.8325,6.18444,19.5541,4.44468
255,91.4396,89.732,87.146,93.3004255,14.4503,8.44121,17.1135,3.63634
256,92.9978,90.4376,87.1196,93.4968256,11.0961,8.20793,17.9465,3.56807
257,92.2222,90.7744,88.1736,93.3256257,13.2223,6.70885,14.9572,3.80661
258,92.48,91.0972,87.7572,92.9208258,14.2663,7.18704,19.0381,4.37271
259,91.4504,90.722,86.6084,93.3172259,15.7566,7.1599,18.3054,3.82379
260,91.4876,91.0668,88.6652,93.566260,14.1158,6.92144,14.1581,4.0074
261,91.4346,90.9672,87.238,93.3912261,15.3502,6.72448,19.4979,3.74319
262,92.3142,90.8312,87.5332,93.1544262,11.7061,6.8616,17.7802,4.1132
263,92.5526,91.068,87.7112,93.086263,12.4091,6.9634,16.0065,3.89805
264,92.765,91.0932,88.5576,93.3928264,14.5822,6.33814,14.1869,3.43317
265,92.2894,90.8844,86.7708,93.4564265,12.8475,7.30203,16.9626,3.59879
266,92.8926,91.4876,86.9956,93.2172266,11.9259,6.19559,16.2459,3.61432
267,92.4234,91.3364,86.6152,93.3332267,12.6909,5.92327,19.2054,3.55128
268,91.8172,90.7604,88.5004,93.298268,14.233,7.40712,13.2879,3.67705
269,93.3696,91.0528,87.4628,93.1784269,11.7748,6.84404,16.3377,3.56929
270,92.441,90.9552,88.6208,93.2596270,13.9386,6.83689,15.1302,3.62545
271,92.8942,90.8208,87.0404,93.348271,11.4417,6.9951,19.6321,3.37885
272,91.4772,91.4908,87.2156,93.0968272,13.5102,6.75624,16.1829,4.3479
273,92.1518,91.8348,87.6808,93.36273,12.4067,6.3963,15.9233,3.63177
274,92.076,91.322,88.0736,93.4176274,16.4134,6.45809,13.4094,3.65446
275,92.4956,91.0784,87.32,93.2048275,13.2309,6.28143,16.9345,3.90874
276,92.7184,91.446,86.8308,93.4264276,12.0298,6.72713,18.2207,3.36532
277,92.9976,91.4672,88.2884,93.3248277,10.9306,6.96877,13.494,3.70327
278,91.771,91.496,87.2204,93.4384278,13.9288,6.47723,14.8206,3.5582
279,93.145,90.7688,88.5036,93.3752279,11.787,7.70929,14.5593,3.69201
280,92.213,91.1548,85.646,93.376280,12.5154,6.38097,19.3125,3.63693
281,91.7702,91.0712,87.9172,93.4184281,13.7795,6.2326,15.2237,3.71901
282,92.3832,91.326,88.4056,93.6428282,13.1977,5.77692,13.2766,3.50287
283,91.9394,91.4832,88.152,93.3428283,13.4358,5.84479,14.7126,3.87718
284,92.4336,91.524,88.1584,93.0904284,13.4362,6.26434,13.905,3.78043
285,92.6362,91.1812,88.006,93.328285,11.6286,7.08137,14.1186,3.75064
286,93.1544,91.1608,87.2776,93.728286,9.72558,5.94157,17.7454,3.29216
287,92.6016,91.2316,87.064,93.558287,13.3894,6.92497,16.9003,3.78332
288,92.0774,91.4992,87.15,93.3028288,13.3114,5.84153,17.1192,3.66849
289,92.8624,91.3076,88.0668,93.2304289,12.2878,6.65298,13.3667,3.63268
290,93.7728,91.3448,87.768,93.1824290,10.6816,5.53921,14.9785,3.72763
291,91.34,91.5612,86.9228,93.1752291,17.3476,5.66693,17.459,3.82207
292,92.8498,91.09,87.7408,93.3228292,13.7966,6.66853,15.5974,3.71269
293,92.1328,91.3744,87.4684,93.4808293,12.8048,6.01713,16.5347,3.63374
294,93.5346,91.176,88.0648,93.1628294,10.9642,5.81168,13.8431,3.9181
295,91.9524,91.6108,88.0352,93.3976295,13.9526,5.83663,11.3952,3.43122
296,91.255,91.5552,85.9476,93.4904296,14.9815,6.26395,17.4913,3.4834
297,92.7704,91.4444,86.4684,93.5804297,12.585,6.06488,15.7281,3.43027
298,92.7672,91.748,87.42,93.5256298,13.1744,6.03356,16.625,3.653
299,91.6712,91.5804,87.7628,93.506299,14.4867,6.78972,15.4036,3.38047
300,92.373,91.5524,88.5568,93.392300,13.1199,6.89975,12.8596,3.9796
301,92.9486,91.42,87.3904,93.4132301,12.1534,6.72741,13.9679,3.779
302,92.5368,91.0608,88.1524,93.3136302,13.2139,6.11695,13.6011,3.51061
303,92.7378,91.64,87.882,93.4388303,11.5315,6.51138,15.3641,3.38687
304,93.168,91.3032,87.5096,93.4272304,11.4052,6.24915,15.3309,3.61754
305,92.3216,91.044,85.9712,93.5056305,12.814,6.40789,17.7573,3.64732
306,92.061,91.6268,88.1112,93.406306,14.7506,6.06787,14.8741,3.85386
307,92.2888,91.4192,88.7444,93.4468307,15.0186,6.06304,12.6832,3.62367
308,93.8392,91.534,87.2856,93.5076308,9.32101,6.10392,15.6502,3.67419
309,93.0792,91.5716,86.9196,93.3372309,12.0274,5.77864,15.275,3.73292
310,92.2768,91.6516,87.4752,93.354310,13.4041,6.05567,15.7029,3.79961
311,93.0784,91.218,88.6572,93.4028311,11.212,5.8193,15.051,3.61281
312,92.1236,91.3224,87.4976,93.2216312,14.5867,6.19311,15.6537,3.80848
313,92.051,91.4776,87.4984,93.1612313,12.8728,5.88597,16.5787,3.64314
